"country_code","name","year","age","popM","popF","pop"
296,"Kiribati",1951,37,0.205,0.222,0.427
296,"Kiribati",1951,38,0.2,0.219,0.419
296,"Kiribati",1951,39,0.195,0.216,0.411
296,"Kiribati",1951,40,0.19,0.212,0.402
296,"Kiribati",1951,41,0.185,0.207,0.392
296,"Kiribati",1951,42,0.18,0.202,0.382
296,"Kiribati",1951,43,0.175,0.196,0.371
296,"Kiribati",1951,44,0.171,0.19,0.361
296,"Kiribati",1951,45,0.168,0.185,0.353
296,"Kiribati",1951,46,0.165,0.18,0.345
296,"Kiribati",1951,47,0.162,0.176,0.338
296,"Kiribati",1951,48,0.16,0.174,0.334
296,"Kiribati",1951,49,0.158,0.171,0.329
296,"Kiribati",1951,50,0.154,0.167,0.321
296,"Kiribati",1951,51,0.15,0.164,0.314
296,"Kiribati",1951,52,0.146,0.161,0.307
296,"Kiribati",1951,53,0.136,0.151,0.287
296,"Kiribati",1951,54,0.123,0.135,0.258
296,"Kiribati",1951,55,0.116,0.127,0.243
296,"Kiribati",1951,56,0.111,0.122,0.233
296,"Kiribati",1951,57,0.108,0.118,0.226
296,"Kiribati",1951,58,0.108,0.118,0.226
296,"Kiribati",1951,59,0.106,0.117,0.223
296,"Kiribati",1951,60,0.105,0.117,0.222
296,"Kiribati",1951,61,0.103,0.115,0.218
296,"Kiribati",1951,62,0.101,0.115,0.216
296,"Kiribati",1951,63,0.099,0.113,0.212
296,"Kiribati",1951,64,0.096,0.111,0.207
296,"Kiribati",1951,65,0.094,0.109,0.203
296,"Kiribati",1951,66,0.09,0.107,0.197
296,"Kiribati",1951,67,0.087,0.104,0.191
296,"Kiribati",1951,68,0.084,0.101,0.185
296,"Kiribati",1951,69,0.08,0.098,0.178
296,"Kiribati",1951,70,0.076,0.093,0.169
296,"Kiribati",1951,71,0.072,0.089,0.161
296,"Kiribati",1951,72,0.068,0.085,0.153
296,"Kiribati",1951,73,0.062,0.079,0.141
296,"Kiribati",1951,74,0.057,0.075,0.132
296,"Kiribati",1951,75,0.053,0.07,0.123
296,"Kiribati",1951,76,0.048,0.065,0.113
296,"Kiribati",1951,77,0.043,0.059,0.102
296,"Kiribati",1951,78,0.039,0.054,0.093
296,"Kiribati",1951,79,0.034,0.048,0.082
296,"Kiribati",1951,80,0.03,0.042,0.072
296,"Kiribati",1951,81,0.025,0.037,0.062
296,"Kiribati",1951,82,0.021,0.032,0.053
296,"Kiribati",1951,83,0.018,0.027,0.045
296,"Kiribati",1951,84,0.015,0.023,0.038
296,"Kiribati",1951,85,0.011,0.019,0.03
296,"Kiribati",1951,86,0.009,0.016,0.025
296,"Kiribati",1951,87,0.007,0.012,0.019
296,"Kiribati",1951,88,0.006,0.01,0.016
296,"Kiribati",1951,89,0.004,0.008,0.012
296,"Kiribati",1951,90,0.003,0.006,0.009
296,"Kiribati",1951,91,0.002,0.004,0.006
296,"Kiribati",1951,92,0.001,0.003,0.004
296,"Kiribati",1951,93,0.001,0.002,0.003
296,"Kiribati",1951,94,0.001,0.001,0.002
296,"Kiribati",1951,95,0,0.001,0.001
296,"Kiribati",1951,96,0,0.001,0.001
296,"Kiribati",1951,97,0,0,0
296,"Kiribati",1951,98,0,0,0
296,"Kiribati",1951,99,0,0,0
296,"Kiribati",1951,100,0,0,0
296,"Kiribati",1952,0,0.797,0.757,1.554
296,"Kiribati",1952,1,0.72,0.688,1.408
296,"Kiribati",1952,2,0.682,0.651,1.333
296,"Kiribati",1952,3,0.655,0.626,1.281
296,"Kiribati",1952,4,0.599,0.591,1.19
296,"Kiribati",1952,5,0.539,0.544,1.083
296,"Kiribati",1952,6,0.506,0.517,1.023
296,"Kiribati",1952,7,0.476,0.494,0.97
296,"Kiribati",1952,8,0.451,0.474,0.925
296,"Kiribati",1952,9,0.429,0.455,0.884
296,"Kiribati",1952,10,0.408,0.439,0.847
296,"Kiribati",1952,11,0.39,0.424,0.814
296,"Kiribati",1952,12,0.375,0.41,0.785
296,"Kiribati",1952,13,0.362,0.398,0.76
296,"Kiribati",1952,14,0.351,0.386,0.737
296,"Kiribati",1952,15,0.343,0.376,0.719
296,"Kiribati",1952,16,0.337,0.368,0.705
296,"Kiribati",1952,17,0.333,0.36,0.693
296,"Kiribati",1952,18,0.33,0.354,0.684
296,"Kiribati",1952,19,0.329,0.348,0.677
296,"Kiribati",1952,20,0.328,0.344,0.672
296,"Kiribati",1952,21,0.328,0.339,0.667
296,"Kiribati",1952,22,0.326,0.333,0.659
296,"Kiribati",1952,23,0.322,0.326,0.648
296,"Kiribati",1952,24,0.318,0.318,0.636
296,"Kiribati",1952,25,0.313,0.31,0.623
296,"Kiribati",1952,26,0.305,0.301,0.606
296,"Kiribati",1952,27,0.297,0.292,0.589
296,"Kiribati",1952,28,0.287,0.281,0.568
296,"Kiribati",1952,29,0.276,0.269,0.545
296,"Kiribati",1952,30,0.264,0.258,0.522
296,"Kiribati",1952,31,0.253,0.248,0.501
296,"Kiribati",1952,32,0.243,0.24,0.483
296,"Kiribati",1952,33,0.234,0.235,0.469
