name,year,age,mxB
Kiribati,2028,70,0.04333952
Kiribati,2028,71,0.0478157
Kiribati,2028,72,0.05266167
Kiribati,2028,73,0.05794973
Kiribati,2028,74,0.06381725
Kiribati,2028,75,0.07031627
Kiribati,2028,76,0.07750989
Kiribati,2028,77,0.08559802
Kiribati,2028,78,0.09472956
Kiribati,2028,79,0.10486867
Kiribati,2028,80,0.11597008
Kiribati,2028,81,0.12805992
Kiribati,2028,82,0.14113773
Kiribati,2028,83,0.15516969
Kiribati,2028,84,0.17018218
Kiribati,2028,85,0.18617686
Kiribati,2028,86,0.20318548
Kiribati,2028,87,0.22122031
Kiribati,2028,88,0.24046631
Kiribati,2028,89,0.26098382
Kiribati,2028,90,0.28247502
Kiribati,2028,91,0.30502959
Kiribati,2028,92,0.3287347
Kiribati,2028,93,0.35298589
Kiribati,2028,94,0.37811483
Kiribati,2028,95,0.40387772
Kiribati,2028,96,0.43001388
Kiribati,2028,97,0.45783918
Kiribati,2028,98,0.48609453
Kiribati,2028,99,0.51364086
Kiribati,2028,100,0.57336026
Kiribati,2029,0,0.04033353
Kiribati,2029,1,0.00403592
Kiribati,2029,2,0.00298143
Kiribati,2029,3,0.00222033
Kiribati,2029,4,0.0016803
Kiribati,2029,5,0.00130355
Kiribati,2029,6,0.00104636
Kiribati,2029,7,0.00087601
Kiribati,2029,8,0.00076797
Kiribati,2029,9,0.00070688
Kiribati,2029,10,0.00068226
Kiribati,2029,11,0.00068855
Kiribati,2029,12,0.00072297
Kiribati,2029,13,0.0007846
Kiribati,2029,14,0.00087225
Kiribati,2029,15,0.00098369
Kiribati,2029,16,0.0011139
Kiribati,2029,17,0.00125415
Kiribati,2029,18,0.00139452
Kiribati,2029,19,0.00152359
Kiribati,2029,20,0.00163454
Kiribati,2029,21,0.00172335
Kiribati,2029,22,0.00178883
Kiribati,2029,23,0.00183387
Kiribati,2029,24,0.00186334
Kiribati,2029,25,0.00188394
Kiribati,2029,26,0.0019037
Kiribati,2029,27,0.001929
Kiribati,2029,28,0.00196343
Kiribati,2029,29,0.00200994
Kiribati,2029,30,0.00207013
Kiribati,2029,31,0.00214426
Kiribati,2029,32,0.00223043
Kiribati,2029,33,0.00232781
Kiribati,2029,34,0.00243685
Kiribati,2029,35,0.00255787
Kiribati,2029,36,0.00269207
Kiribati,2029,37,0.00284078
Kiribati,2029,38,0.00300625
Kiribati,2029,39,0.00318991
Kiribati,2029,40,0.00339501
Kiribati,2029,41,0.003626
Kiribati,2029,42,0.0038858
Kiribati,2029,43,0.00417718
Kiribati,2029,44,0.00450348
Kiribati,2029,45,0.00486734
Kiribati,2029,46,0.00526818
Kiribati,2029,47,0.00571058
Kiribati,2029,48,0.00619469
Kiribati,2029,49,0.0067228
Kiribati,2029,50,0.00729599
Kiribati,2029,51,0.00792195
Kiribati,2029,52,0.0086113
Kiribati,2029,53,0.00934776
Kiribati,2029,54,0.01014785
Kiribati,2029,55,0.01102628
Kiribati,2029,56,0.01198569
Kiribati,2029,57,0.01304748
Kiribati,2029,58,0.01422965
Kiribati,2029,59,0.01555474
Kiribati,2029,60,0.01703045
Kiribati,2029,61,0.01866145
Kiribati,2029,62,0.02044186
Kiribati,2029,63,0.0223738
Kiribati,2029,64,0.02449514
Kiribati,2029,65,0.02682821
Kiribati,2029,66,0.02941397
Kiribati,2029,67,0.03232629
Kiribati,2029,68,0.03557487
Kiribati,2029,69,0.03920302
Kiribati,2029,70,0.04324678
Kiribati,2029,71,0.04771088
Kiribati,2029,72,0.05262648
Kiribati,2029,73,0.05793406
Kiribati,2029,74,0.06372557
Kiribati,2029,75,0.07018163
Kiribati,2029,76,0.07737397
Kiribati,2029,77,0.08539104
Kiribati,2029,78,0.09441626
Kiribati,2029,79,0.1045612
Kiribati,2029,80,0.1157521
Kiribati,2029,81,0.12786945
Kiribati,2029,82,0.14091965
Kiribati,2029,83,0.15491015
Kiribati,2029,84,0.16982874
Kiribati,2029,85,0.18579711
Kiribati,2029,86,0.20283937
Kiribati,2029,87,0.22100305
Kiribati,2029,88,0.24027654
Kiribati,2029,89,0.2607531
Kiribati,2029,90,0.28243335
Kiribati,2029,91,0.30491206
Kiribati,2029,92,0.32824587
Kiribati,2029,93,0.35259094
Kiribati,2029,94,0.37737379
Kiribati,2029,95,0.40304918
Kiribati,2029,96,0.42948142
Kiribati,2029,97,0.45620526
Kiribati,2029,98,0.4845448
Kiribati,2029,99,0.51307624
Kiribati,2029,100,0.57279356
Kiribati,2030,0,0.03953508
Kiribati,2030,1,0.00395491
Kiribati,2030,2,0.00292328
Kiribati,2030,3,0.00217824
Kiribati,2030,4,0.00164933
Kiribati,2030,5,0.00128012
Kiribati,2030,6,0.00102794
Kiribati,2030,7,0.00086088
Kiribati,2030,8,0.00075508
Kiribati,2030,9,0.00069515
Kiribati,2030,10,0.00067116
Kiribati,2030,11,0.00067772
Kiribati,2030,12,0.00071172
Kiribati,2030,13,0.00077252
Kiribati,2030,14,0.00085901
Kiribati,2030,15,0.00096919
Kiribati,2030,16,0.00109804
Kiribati,2030,17,0.00123691
Kiribati,2030,18,0.00137602
Kiribati,2030,19,0.0015039
Kiribati,2030,20,0.00161293
Kiribati,2030,21,0.00169936
Kiribati,2030,22,0.00176331
Kiribati,2030,23,0.001807
Kiribati,2030,24,0.00183632
Kiribati,2030,25,0.00185747
Kiribati,2030,26,0.00187791
Kiribati,2030,27,0.00190383
Kiribati,2030,28,0.00193935
Kiribati,2030,29,0.00198686
Kiribati,2030,30,0.00204672
Kiribati,2030,31,0.00212034
Kiribati,2030,32,0.00220638
Kiribati,2030,33,0.00230351
Kiribati,2030,34,0.0024117
Kiribati,2030,35,0.00253193
Kiribati,2030,36,0.00266576
Kiribati,2030,37,0.00281386
Kiribati,2030,38,0.00297844
Kiribati,2030,39,0.0031622
Kiribati,2030,40,0.00336682
Kiribati,2030,41,0.00359593
Kiribati,2030,42,0.00385432
Kiribati,2030,43,0.00414487
Kiribati,2030,44,0.0044698
Kiribati,2030,45,0.00483209
Kiribati,2030,46,0.00523288
Kiribati,2030,47,0.00567295
Kiribati,2030,48,0.00615667
Kiribati,2030,49,0.00668429
Kiribati,2030,50,0.00725903
Kiribati,2030,51,0.00787983
Kiribati,2030,52,0.00856101
Kiribati,2030,53,0.0093129
Kiribati,2030,54,0.01011779
Kiribati,2030,55,0.01099506
Kiribati,2030,56,0.01195646
Kiribati,2030,57,0.01301402
Kiribati,2030,58,0.0141863
Kiribati,2030,59,0.01549154
Kiribati,2030,60,0.01695247
Kiribati,2030,61,0.01856766
Kiribati,2030,62,0.0203563
Kiribati,2030,63,0.02230883
Kiribati,2030,64,0.02443287
Kiribati,2030,65,0.02677663
Kiribati,2030,66,0.02935888
Kiribati,2030,67,0.03224338
Kiribati,2030,68,0.03549827
Kiribati,2030,69,0.03912533
Kiribati,2030,70,0.04316186
Kiribati,2030,71,0.0476212
Kiribati,2030,72,0.05252525
Kiribati,2030,73,0.05790753
Kiribati,2030,74,0.0637214
Kiribati,2030,75,0.07009836
Kiribati,2030,76,0.07724489
Kiribati,2030,77,0.08526078
Kiribati,2030,78,0.09421385
Kiribati,2030,79,0.10425285
Kiribati,2030,80,0.1154518
Kiribati,2030,81,0.12766128
Kiribati,2030,82,0.14074357
Kiribati,2030,83,0.15471088
Kiribati,2030,84,0.16959133
Kiribati,2030,85,0.18546248
Kiribati,2030,86,0.20248314
Kiribati,2030,87,0.22068981
Kiribati,2030,88,0.24010471
Kiribati,2030,89,0.26061032
Kiribati,2030,90,0.28224864
Kiribati,2030,91,0.30492349
Kiribati,2030,92,0.32818437
Kiribati,2030,93,0.35216005
Kiribati,2030,94,0.37704597
Kiribati,2030,95,0.40237796
Kiribati,2030,96,0.42875117
Kiribati,2030,97,0.45578776
Kiribati,2030,98,0.4830481
Kiribati,2030,99,0.51169325
Kiribati,2030,100,0.57238172
