name,year,age,mig
Kiribati,2029,55,-0.002
Kiribati,2029,56,-0.002
Kiribati,2029,57,-0.002
Kiribati,2029,58,-0.002
Kiribati,2029,59,-0.002
Kiribati,2029,60,-0.002
Kiribati,2029,61,-0.002
Kiribati,2029,62,-0.002
Kiribati,2029,63,-0.002
Kiribati,2029,64,-0.002
Kiribati,2029,65,-0.002
Kiribati,2029,66,-0.002
Kiribati,2029,67,-0.002
Kiribati,2029,68,-0.002
Kiribati,2029,69,-0.002
Kiribati,2029,70,-0.002
Kiribati,2029,71,-0.002
Kiribati,2029,72,-0.002
Kiribati,2029,73,-0.002
Kiribati,2029,74,-0.002
Kiribati,2029,75,-0.002
Kiribati,2029,76,0
Kiribati,2029,77,0
Kiribati,2029,78,0
Kiribati,2029,79,0
Kiribati,2029,80,0
Kiribati,2029,81,0
Kiribati,2029,82,0
Kiribati,2029,83,0
Kiribati,2029,84,0
Kiribati,2029,85,0
Kiribati,2029,86,0
Kiribati,2029,87,0
Kiribati,2029,88,0
Kiribati,2029,89,0
Kiribati,2029,90,0
Kiribati,2029,91,0
Kiribati,2029,92,0
Kiribati,2029,93,0
Kiribati,2029,94,0
Kiribati,2029,95,0
Kiribati,2029,96,0
Kiribati,2029,97,0
Kiribati,2029,98,0
Kiribati,2029,99,0
Kiribati,2029,100,0
Kiribati,2030,0,-0.011
Kiribati,2030,1,-0.009
Kiribati,2030,2,-0.009
Kiribati,2030,3,-0.008
Kiribati,2030,4,-0.007
Kiribati,2030,5,-0.007
Kiribati,2030,6,-0.006
Kiribati,2030,7,-0.006
Kiribati,2030,8,-0.005
Kiribati,2030,9,-0.005
Kiribati,2030,10,-0.004
Kiribati,2030,11,-0.004
Kiribati,2030,12,-0.004
Kiribati,2030,13,-0.004
Kiribati,2030,14,-0.004
Kiribati,2030,15,-0.004
Kiribati,2030,16,-0.004
Kiribati,2030,17,-0.006
Kiribati,2030,18,-0.009
Kiribati,2030,19,-0.012
Kiribati,2030,20,-0.014
Kiribati,2030,21,-0.015
Kiribati,2030,22,-0.016
Kiribati,2030,23,-0.016
